OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
60881,GAS AND STUFF,"I-64, EXIT 118",Georgetown                              ,IN,415,3.799,-37.3866065,144.3231933
60890,JACK FLASH,I-57 EXIT 135,Farina,IL,510,3.099,38.5728732,-92.2697805
60913,J Mart #1,"HWY 50 E, HWY 83 N",Garden City,KS,525,3.529,5.8158276,100.4782264
60926,CENEX,US-36 & US-83,Oberlin,KS,525,3.159,44.0293367,-92.7589878
60958,NORTH WEST TRUCK STOP,US-90 & SR-3211,Franklin,LA,600,3.399,-26.1679635,26.1564283
60979,TOBACCO PLUS #5,"I-10, EXIT 4 & US-90",Vinton,LA,690,2.999,44.962613,-93.2371808
60989,Blandford Service Plaza Westbound,"I-90, EXIT MM29",Blandford,MA,215,3.919,42.1950205,-72.9322436
60993,GULF #5165,"I-90, EXIT 12",Framingham,MA,34,4.06566666,35.179412,-119.1600672
60997,GULF OIL #5035,I-90 MM 66.7,Ludlow,MA,215,3.914,45.1213908,9.2296659
60998,GULF OIL #5030,"I-90, EXIT 7",Ludlow,MA,215,3.909,45.1213908,9.2296659
61004,Applegreen,SR-15,Sturbridge,MA,215,3.999,51.6149434,-0.1010227
61021,WESTOVER GOOSE CREEK,US-13 & SR-673,Westover                                ,MD,194,3.259,38.0851105,-78.9506654
61028,MARATHON,"US-10, EXIT 137",Bay City,MI,260,3.259,44.8914036,-89.7748098
61032,MARATHON,US-10/US-127,Clare,MI,260,3.289,44.8914036,-89.7748098
61042,CITGO,"US-131, EXIT 44",Kalamazoo,MI,465,3.499,42.2279712,-83.1484553
61057,CIRCLE K #2746537,US-2 & US-41,Rapid River                             ,MI,360,3.499,30.1755249,-85.6243147
61063,PS Food Mart,I-69 EXIT 25,Tekonsha,MI,431,3.589,42.2665853,-85.2375354
61076,Holiday StationStore #2746408,"I-35, EXIT 129",Forest Lake,MN,448,3.399,61.1405592,-149.9512868
61080,CO-OP SERVICE,US-10 & CR-67,New York Mills,MN,250,3.499,50.9559681,-119.0725921
61090,Northdale Oil,US-59 & SR-1,Thief River Falls                       ,MN,355,3.239,47.7349325,-95.510711
61093,CIRCLE K #2746501,"I-90, EXIT 45 & SR-60",Worthington,MN,432,3.14233333,30.1755249,-85.6243147
61099,LOVES TRAVEL STOP #488,"I-55, EXIT 157 & SR-32",Bloomsdale,MO,540,3.38233333,41.5092474,-112.0537895
61102,FAST LANE #54,US-63,Columbia,MO,310,3.20733333,44.307999,-69.712046
61106,TEMP STOP #102,US-54 & SR-52,Eldon,MO,392,3.199,35.9791141,-83.8944175
61110,HB OF RANDOLPH,"I-435, EXIT 55B & SR-210",Kansas City,MO,400,3.149,43.9253287,-72.6659422
61111,Caseys #4540,"I-35, EXIT 40 & SR-116",Lathrop,MO,400,3.07566666,35.8155967,-81.5027493
61115,BREAK TIME #3071,US-24 & US-63,Moberly,MO,310,3.469,42.9409896,-81.3408026
61145,TEXACO,US-49 & US-98,Hattiesburg,MS,620,3.199,10.4048559,-75.5239034
61149,CEFCO #501,US-45,Lauderdale,MS,705,2.899,30.1505952,-85.5916889
61168,Blue Sky #717,US-72 & SR-15,Walnut,MS,435,3.099,32.613479,-97.1002233
61210,SHEETZ #548,US-29,Greensboro,NC,65,2.859,40.5760681,-76.940029
61266,CENEX CONVENIENCE STORE,US-2 & SR-19,Devils Lake,ND,355,3.249,44.2909148,-93.2675124
61269,FLYING J #489,"I-29, EXIT 138",Grand Forks,ND,341,3.61566666,38.7905304,-112.0775425
61271,MARATHON,"I-94, EXIT 292",Valley City,ND,341,3.499,44.8914036,-89.7748098
61292,ENRITE,"I-95, EXIT 14A",Jersey City,NJ,115,3.349,40.6771641,-74.0901103
61305,BP,US-130,Cranbury,NJ,150,3.14566666,51.507825,-0.134197
61312,BLUE STAR,US-202 & SR-31,Flemington                              ,NJ,115,3.399,29.4091123,-98.4955189
61333,46 GAS AND TRUCK STOP,US-46,Palisades Park,NJ,115,3.23566666,-27.5516418,28.8402218
61339,FUEL ONE,"I-78, EXIT 3 & US-22",Phillipsburg,NJ,79,3.359,40.6698213,-74.2017873
61357,KENT KWIK #501,US-70 & US-54,Alamogordo,NM,593,2.98233333,31.4878709,-100.468609
61409,104 STORE,SR-370/SR-104,Red Creek                               ,NY,220,3.799,27.6829417,85.34519
61453,CITGO,"I-475, EXIT 6",Maumee,OH,550,3.499,42.2279712,-83.1484553
61459,7-ELEVEN #40300,"I-76, EXIT 157",New Springfield,OH,165,3.53233333,3.0566639,101.5414233
61461,S&G,"I-280, EXIT 7                 ",Oregon                                  ,OH,550,3.599,59.3097476,18.0617378
61492,SPRINGER TRAVEL PLAZA,I-35 EXIT 40,Springer,OK,253,2.91566666,34.3032796,-97.1569754
61540,S&P Oil,US-13,Levittown,PA,160,3.81566666,9.7103653,99.9912245
61569,KWIK FILL #295,US-6 BUS,Warren,PA,240,4.699,42.953462,-78.8687221
61571,7-ELEVEN #40280,MILE MARKER 55 NE EXT PENN TPKE,Allentown,PA,90,3.589,16.846985,102.8548783
61595,CORNER MART 3338,"I-85, EXIT 44",Greenville,SC,30,2.907,-27.4587215,151.9584108
61596,HOT SPOT #2009,US-25/US-178 & SR-225,Greenwood,SC,30,2.939,40.2047142,44.531036
61597,SPINX #121,"I-85, EXIT 56",Greer,SC,30,3.16566666,33.5407733,-80.92339
61598,Shell,SR-41,Hemingway,SC,245,3.199,-25.2864234,-57.5711678
61599,HOT SPOT #2013,"I-26, EXIT 10",Inman,SC,210,3.149,-25.7888,28.30814
61605,HOT SPOT #2028,US-76/US-301,Marion,SC,63,2.999,37.1275968,-82.91655
61616,PILOT #4578,"I-77, EXIT 48 & SC-200",Winnsboro,SC,135,3.409,37.2999497,-80.0106421
61621,CUBBYS #401,"I-90 , EXIT 332 & SR-37",Mitchell,SD,530,3.149,35.4243113,-83.3210658
61625,PRARIE STOP,US-212 & SR-20,Watertown,SD,566,3.279,39.9215654,-88.2986826
61642,PILOT TRAVEL CENTERS #252,"I-35, EXIT 26",Kearney,MO,400,3.699,43.1217027,-71.4807373
61646,SHELL,"I-40, EXIT 35 & SR-59",Mason,TN,435,3.549,-25.2864234,-57.5711678
61656,PHILLIPS 66,US-51,Union City,TN,460,3.38233333,33.755657,-118.2714478
61660,MARATHON,"I-40, EXIT 108",Wildersville,TN,435,3.099,44.8914036,-89.7748098
61747,TEX-BEST #504,"I-35, EXIT 141",Von Ormy                                ,TX,740,3.15733333,32.0099343,-102.0754584
61751,ALLSUPS CONVENIENCE STORE #2264,SR-214,Seminole,TX,710,3.094,35.9755941,-105.3371044
61761,ALLSUPS CONVENIENCE STORE #2304,"I-40, EXIT 36 & US-385",Vega,TX,585,2.999,35.9755941,-105.3371044
61763,ALLSUPS CONVENIENCE STORE #2283,"I-20, EXIT 73",Wickett,TX,710,2.899,35.9755941,-105.3371044
61796,EXXON,US-220,Martinsville                            ,VA,185,3.375,33.0419332,-97.044021
61799,CIRCLE K #2723712,"I-77, EXIT 52 & US-52/SR-42",Bland,VA,185,3.37566666,29.5043588,-98.3685474
61819,CHEVRON,"I-5, EXIT 36",Longview,WA,935,4.499,51.5065602,-0.0267079
61830,APPLETON TRAVEL PLAZA,SR-96,Appleton,WI,444,3.40566666,44.2727538,-88.4495942
61832,BARRON FARMERS UNION,"US-8, EXIT 53",Barron,WI,545,3.639,45.503846,-91.7390584
61835,BRISTOL BP,"I-94, EXIT 345 & US-45",Bristol,WI,444,3.719,51.6038801,-2.6212783
61843,KWIK TRIP #332,SR-33,Horicon,WI,444,3.21566666,44.0587262,-92.5278462
61849,KWIK TRIP #306,"I-94, EXIT 259 & SR-89",Lake Mills,WI,420,3.43233333,44.0587262,-92.5278462
61862,KWIK TRIP #781,SR-21,Redgranite,WI,582,3.35233333,44.0443139,-89.108026
61867,KWIK TRIP #318,SR-27 & SR-16/SR-71,Sparta,WI,515,3.34233333,44.0587262,-92.5278462
61877,CASEYS #3715,SR-59,Whitewater,WI,420,3.299,33.6728863,-84.2861459
61879,KWIK TRIP #347,SR-13,Wisconsin Rapids,WI,395,3.31233333,44.0587262,-92.5278462
61880,KWIK TRIP #310,SR-13/SR-73,Wisconsin Rapids,WI,395,3.26233333,44.0587262,-92.5278462
61908,CRANBROOK HUSKY,HWY 3/95,Cranbrook,BC,50,4.5076218,49.526707,-115.7499634
61968,FLYING J TRAVEL PLAZA #701,"I-35, EXIT 33",Ardmore,OK,253,3.659,44.4710928,-93.2946643
61978,PETRO-CANADA,HWY 247,Etobicoke,ON,720,3.59147696,44.1986157,-79.659707
61983,PETRO-CANADA,HWY 35,Orono                                   ,ON,720,3.59147696,44.1986157,-79.659707
61996,PETRO-CANADA,"HWY-402, EXIT 9 & CR-22",Sarnia                                  ,ON,620,3.34071441,44.1986157,-79.659707
61998,PETRO-CANADA,HWY 417,Gloucester                              ,ON,400,3.72804545,44.1986157,-79.659707
62008,LOVES TRAVEL STOP #366,"I-81, EXIT 90",Jonestown,PA,70,3.85733333,41.5092474,-112.0537895
62016,PETRO-CANADA,"HWY-400, EXIT 29 & HWY-407, EXIT 67",Concord,ON,720,3.42329404,44.1986157,-79.659707
